"range_0","range_1","range_2","range_3","range_4","range_5","range_6","range_7","range_8","range_9","range_10","range_11","range_12","range_13","range_14","range_15","range_16","range_17","range_18","range_19","range_20","range_21","range_22","range_23","range_24","range_25","range_26","range_27","range_28","range_29","range_30","range_31","range_32","range_33","range_34","range_35","range_36","range_37","range_38","range_39","range_40","range_41","range_42","range_43","range_44","range_45","range_46","range_47","range_48","range_49","range_50","range_51","range_52","range_53","range_54","range_55","range_56","range_57","range_58","range_59","range_60","range_61","range_62"
"12.0","12.0","12.0","12.0","0.8564814329147339","0.838806688785553","0.8236791491508484","0.8073527812957764","0.7968389391899109","0.7928536534309387","0.7893491983413696","0.7854884266853333","0.7820991277694702","0.7797450423240662","0.5571953654289246","0.5498645305633545","0.5476993918418884","0.5467720627784729","0.5472776889801025","0.5490583777427673","0.552972674369812","0.7690370082855225","0.7679173946380615","0.7678045034408569","0.7684390544891357","0.7691512107849121","0.7698397040367126","0.7706059813499451","0.7718397378921509","0.7758285999298096","0.779473066329956","0.7797897458076477","0.7834658622741699","0.7877255082130432","0.7915353775024414","0.7954150438308716","0.7993572950363159","0.8039092421531677","0.8079936504364014","0.8233962059020996","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","0.8391098380088806","0.8217480778694153","0.8068919777870178","0.7938998937606812","0.7903014421463013","0.786346971988678","0.7828660607337952","0.7790311574935913","0.7756686806678772","0.7719539999961853","0.5569058060646057","0.5496324896812439","0.5473859310150146","0.5466810464859009","0.5470221638679504","0.5489546656608582","0.5528937578201294","0.761384904384613","0.7619629502296448","0.7626177072525024","0.7632489800453186","0.7639572024345398","0.7646419405937195","0.7654038071632385","0.7661426067352295","0.7689191102981567","0.7725338339805603","0.7728526592254639","0.7765001058578491","0.7807253003120422","0.7845091819763184","0.7883585691452026","0.7922700047492981","0.796785295009613","0.8008420467376709","0.8088340759277344","0.8245557546615601","0.8430545330047607","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","0.8341901898384094","0.8185033798217773","0.801590621471405","0.7905521392822266","0.7865113615989685","0.7829490900039673","0.7790340185165405","0.7755882143974304","0.7717954516410828","0.7684628963470459","0.7647851705551147","0.5570577383041382","0.5499045252799988","0.5477291941642761","0.5467206239700317","0.5471667051315308","0.5490903258323669","0.5529402494430542","0.755669355392456","0.7562439441680908","0.7568939924240112","0.7575175166130066","0.7582207322120667","0.7588972449302673","0.7596538066864014","0.760387659072876","0.7611980438232422","0.7646709084510803","0.7649794220924377","0.7685918211936951","0.7727710008621216","0.7765105962753296","0.7803187966346741","0.7841885089874268","0.7886544466018677","0.7926637530326843","0.7967458367347717","0.8069326877593994","0.8250017166137695","0.8417707085609436","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","0.8320831060409546","0.8141705989837646","0.7988678216934204","0.7870238423347473","0.7833775281906128","0.7793712615966797","0.775843620300293","0.7719621658325195","0.7685497999191284","0.7647895216941833","0.7614933252334595","0.7578508853912354","0.5571891665458679","0.5498625040054321","0.5476776361465454","0.5467463135719299","0.54728764295578","0.5491580963134766","0.552998960018158","0.7501208782196045","0.7506882548332214","0.7513301968574524","0.7519499063491821","0.7526482939720154","0.7533206939697266","0.7540721893310547","0.754797637462616","0.7556024193763733","0.7570835947990417","0.7573935389518738","0.7609690427780151","0.7651044726371765","0.7688099145889282","0.7725753784179688","0.7764095664024353","0.7808290719985962","0.7848013639450073","0.7888377904891968","0.7929473519325256","0.807861328125","0.8242726922035217","0.8413968682289124","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","0.8280221223831177","0.8117887377738953","0.7943223118782043","0.7839451432228088","0.7798466682434082","0.776236355304718","0.7722652554512024","0.768772304058075","0.7649247050285339","0.7615460157394409","0.7578223943710327","0.7545509934425354","0.7509441375732422","0.5571645498275757","0.5498364567756653","0.5477113127708435","0.5467186570167542","0.5472579002380371","0.5491281747817993","0.5529686212539673","0.7445909976959229","0.745154857635498","0.7457961440086365","0.7464120984077454","0.7471020221710205","0.7477701902389526","0.7485163807868958","0.7492371797561646","0.7500364780426025","0.7508103847503662","0.7508178353309631","0.7533875107765198","0.7574827671051025","0.7611496448516846","0.7648797631263733","0.7686741352081299","0.7730506658554077","0.776981770992279","0.7809802889823914","0.7850430607795715","0.7897195816040039","0.8069097399711609","0.8236606121063232","0.8411577343940735","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"0.8261511325836182","0.8075920343399048","0.7917526364326477","0.7805008292198181","0.7768024206161499","0.7727402448654175","0.7691617012023926","0.765229344367981","0.7617672681808472","0.7579535841941833","0.7546046376228333","0.7509137988090515","0.7476750016212463","0.7440961599349976","0.5571172833442688","0.5498484969139099","0.5475962162017822","0.5467245578765869","0.5472102761268616","0.5491421818733215","0.5528573989868164","0.7391058802604675","0.7396662831306458","0.7402995228767395","0.740911602973938","0.7416004538536072","0.7422643303871155","0.7430017590522766","0.7437180280685425","0.7445116639137268","0.7452769875526428","0.7452879548072815","0.7460508346557617","0.749937117099762","0.7535654902458191","0.757260262966156","0.7610186338424683","0.7653483748435974","0.7692421674728394","0.7731987237930298","0.777226984500885","0.781857430934906","0.7897964715957642","0.8061962723731995","0.8233310580253601","0.8412402272224426","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"0.8051117658615112","0.7870370149612427","0.777438759803772","0.7732889652252197","0.7696244716644287","0.765603244304657","0.762057363986969","0.7581610083580017","0.7547305226325989","0.7509554624557495","0.7476370334625244","0.7439799308776855","0.740770697593689","0.7372280955314636","0.5571850538253784","0.549914538860321","0.5477332472801208","0.5467364192008972","0.5472776889801025","0.5491122603416443","0.5529261827468872","0.7336013913154602","0.7341547012329102","0.7347870469093323","0.7353915572166443","0.7360754609107971","0.7367315292358398","0.7374672889709473","0.7381752133369446","0.7389596700668335","0.7397234439849854","0.7397270202636719","0.7404868006706238","0.7423474788665771","0.7459399700164795","0.7495980262756348","0.7533153891563416","0.7576006650924683","0.7614519000053406","0.7653730511665344","0.7693573832511902","0.7739364504814148","0.7780677676200867","0.7885879278182983","0.805341899394989","0.8228529691696167","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"0.7853491902351379","0.774259626865387","0.7705015540122986","0.7663874626159668","0.7627545595169067","0.7587641477584839","0.7552489638328552","0.7513862252235413","0.747981607913971","0.7442391514778137","0.7409458756446838","0.7373203039169312","0.7341388463973999","0.7321349382400513","0.5569838285446167","0.549688458442688","0.5474395155906677","0.5466276407241821","0.5470716953277588","0.5490025877952576","0.5528452396392822","0.7282904386520386","0.7288404107093811","0.7294684648513794","0.7300693392753601","0.7307450771331787","0.7314006686210632","0.7321277856826782","0.7328349351882935","0.7336140275001526","0.7343730330467224","0.7343800663948059","0.7351334691047668","0.7360522150993347","0.7386652231216431","0.7422894239425659","0.745972216129303","0.7502239346504211","0.7540395855903625","0.757924497127533","0.7618759274482727","0.7664150595664978","0.770504355430603","0.7746673226356506","0.7884882688522339","0.8056687712669373","0.8259480595588684","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"0.7713238596916199","0.7668075561523438","0.763090968132019","0.759014368057251","0.7554178237915039","0.7514675259590149","0.7479875683784485","0.7441635727882385","0.7407931089401245","0.7370882034301758","0.7338278889656067","0.7299178242683411","0.7287052273750305","0.7273774743080139","0.5571110844612122","0.5498645305633545","0.5476180911064148","0.546688973903656","0.5472301244735718","0.5491660833358765","0.55288165807724","0.7226825952529907","0.7232288122177124","0.7238520979881287","0.7244488596916199","0.7251195311546326","0.7257704734802246","0.726492166519165","0.7271907925605774","0.7279674410820007","0.7287175059318542","0.7287245392799377","0.7294707298278809","0.7303833961486816","0.7311814427375793","0.7344550490379333","0.7381008863449097","0.7423006296157837","0.7460779547691345","0.7499160766601562","0.7538236975669861","0.7583151459693909","0.7623592019081116","0.7664762735366821","0.7706594467163086","0.7866978645324707","0.806477427482605","0.8249291181564331","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"0.7648714780807495","0.7594175338745117","0.7557386755943298","0.7517033815383911","0.7481395602226257","0.7442330718040466","0.7407845854759216","0.7369958162307739","0.7336631417274475","0.729992151260376","0.7265520095825195","0.7251760959625244","0.7239683270454407","0.722650408744812","0.5572960376739502","0.54996258020401","0.5476359128952026","0.5467008352279663","0.5472717881202698","0.5492519736289978","0.5530030131340027","0.7171094417572021","0.717651903629303","0.7182671427726746","0.7188596129417419","0.7195285558700562","0.7201715111732483","0.7208877205848694","0.7215813398361206","0.722348690032959","0.7230934500694275","0.7231003642082214","0.7238426804542542","0.7247458100318909","0.7255395650863647","0.7263556718826294","0.7302741408348083","0.7344323992729187","0.7381672263145447","0.7419659495353699","0.7458296418190002","0.7502728700637817","0.7542753219604492","0.7583460807800293","0.7624861598014832","0.7666968107223511","0.7872303128242493","0.8052439093589783","0.8241093754768372","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
